subject_code,subject_name,department,year,semester,course_type,elective_type,credits
DSC3151,"Introduction to Data Mining Lab",DATA SCIENCE,3,5,Practical,Compulsory,1.0
DSC3171,"Data Curation Lab",DATA SCIENCE,3,5,Practical,Professional Elective-II (Lab),1.0
DSC3172,"Fundamentals of Computer Networks Lab",DATA SCIENCE,3,5,Practical,Professional Elective-II (Lab),1.0
DSC3173,"Introduction to Soft Computing Lab",DATA SCIENCE,3,5,Practical,Professional Elective-II (Lab),1.0
CSE3171,"Artificial Intelligence Lab",DATA SCIENCE,3,5,Practical,Professional Elective-II (Lab),1.0
AEI3222,"Instrumentation and Telemetry",DATA SCIENCE,3,6,Theory,Open Elective-II,3.0
MTH3221,"Computational Mathematics",DATA SCIENCE,3,6,Theory,Open Elective-II,3.0
ECE3221,"AI in Radio Communication",DATA SCIENCE,3,6,Theory,Open Elective-II,3.0
BTC3225,"Computational Biology",DATA SCIENCE,3,6,Theory,Open Elective-II,3.0
CIV3222,"Project Planning and Management",DATA SCIENCE,3,6,Theory,Open Elective-II,3.0
INC3016,"Indian Constitution and Civil Society (Mandatory)",DATA SCIENCE,3,6,Theory,Compulsory,0.0
DSC3251,"OOP Concepts Lab",DATA SCIENCE,3,6,Practical,Compulsory,1.5
DSC3252,"Machine Learning Lab",DATA SCIENCE,3,6,Practical,Compulsory,1.5
DSC3261,"Data Warehousing Lab",DATA SCIENCE,3,6,Practical,Professional Elective-III (Lab),1.0
CSE3265,"Cloud Computing with AWS Lab",DATA SCIENCE,3,6,Practical,Professional Elective-III (Lab),1.0
DSC3293,"Term Paper and Seminar",DATA SCIENCE,3,6,Sessional,Compulsory,2.0
DSC3295,"Project-I",DATA SCIENCE,3,6,Sessional,Compulsory,2.0
